ID,Titre,Université,Pays,Niveau(x),Domaines d'étude,Catégorie,Type de financement,Montant,Devise,Date limite,Statut,Nationalité éligible,GPA minimum,Test de langue,Score minimum,Limite d'âge,Expérience requise,Lien de candidature,Score popularité,Score difficulté
SCH001,Fulbright Foreign Student Program,Various US Universities,USA,Master | PhD,All Fields,Government,full_funded,35000,USD,10/15/2025,open,Non-US citizens,3,TOEFL,80,Aucune,Non,https://foreign.fulbrightonline.org,95,88
SCH002,Chevening Scholarships,Various UK Universities,UK,Master,All Fields,Government,full_funded,28000,GBP,11/5/2025,open,Citizens of Chevening-eligible countries,3,IELTS,6.5,Aucune,Oui,https://www.chevening.org/apply,92,85
SCH003,DAAD Scholarships for Foreign Students,Various German Universities,Germany,Master | PhD,Engineering | Natural Sciences | Social Sciences | Arts,Government,full_funded,1200,EUR/month,10/31/2025,open,All nationalities,2.8,IELTS or TestDaF,6,32,Non,https://www.daad.de/en/study-and-research-in-germany/scholarships,89,75
SCH004,Erasmus+ Scholarship,Partner Universities across Europe,European Union,Licence | Master | PhD,All Fields,International,partial,800,EUR/month,1/15/2026,open,EU and partner country students,2.5,None,N/A,Aucune,Non,https://erasmus-plus.ec.europa.eu,91,55
SCH005,Australia Awards Scholarships,Various Australian Universities,Australia,Master | PhD,Development | Public Policy | Business | Agriculture,Government,full_funded,45000,AUD,9/30/2025,open,Citizens of eligible Indo-Pacific countries,3,IELTS,6.5,Aucune,Oui,https://www.australiaawards.gov.au,82,80
SCH006,Vanier Canada Graduate Scholarships,Canadian Universities,Canada,PhD,Health Sciences | Natural Sciences | Engineering | Social Sciences | Humanities,Government,full_funded,50000,CAD,11/1/2025,open,Canadian and international students,3.7,IELTS or TOEFL,7,Aucune,Oui,https://vanier.gc.ca/en/home-accueil.html,80,92
SCH007,Campus France Eiffel Excellence Scholarship,French Grandes Écoles & Universities,France,Master | PhD,Engineering | Law | Economics | Political Science,Government,full_funded,1181,EUR/month,1/12/2026,open,Non-French citizens under 30,3.2,DELF or IELTS,6,30,Non,https://www.campusfrance.org/en/eiffel-scholarship-program-of-excellence,84,78
SCH008,Turkish Government Scholarship (Türkiye Bursları),Various Turkish Universities,Turkey,Licence | Master | PhD,All Fields,Government,full_funded,800,TRY/month,2/20/2026,open,Non-Turkish citizens,2.5,None,N/A,30,Non,https://www.turkiyeburslari.gov.tr,87,60
SCH009,Gates Cambridge Scholarship,University of Cambridge,UK,Master | PhD,All Fields,University,full_funded,21000,GBP,10/8/2025,open,Non-UK citizens,3.8,IELTS,7.5,Aucune,Oui,https://www.gatescambridge.org,97,98
SCH010,Rhodes Scholarship – University of Oxford,University of Oxford,UK,Master | PhD,All Fields,University,full_funded,20000,GBP,9/25/2025,open,Citizens of Rhodes-eligible countries,3.8,IELTS,7.5,25,Oui,https://www.rhodeshouse.ox.ac.uk/scholarships,98,99
SCH011,MEXT Japanese Government Scholarship,Various Japanese Universities,Japan,Licence | Master | PhD,All Fields,Government,full_funded,143000,JPY/month,5/15/2026,open,Non-Japanese citizens,2.8,JLPT or None,N/A,35,Non,https://www.mext.go.jp/en/policy/education/highered/title02/detail02/sdetail02/1373897.htm,85,70
SCH012,Korean Government Scholarship (KGSP),Various Korean Universities,South Korea,Licence | Master | PhD,All Fields,Government,full_funded,900000,KRW/month,3/10/2026,open,Non-Korean citizens under 25 (Licence) or 40 (Master/PhD),2.8,TOPIK or None,N/A,40,Non,https://www.studyinkorea.go.kr/en/sub/gks/allnew_invite.do,83,65
SCH013,Chinese Government Scholarship (CSC),Various Chinese Universities,China,Licence | Master | PhD,All Fields,Government,full_funded,3500,CNY/month,4/1/2026,open,Non-Chinese citizens,2.5,HSK or None,N/A,35,Non,https://www.campuschina.org,86,58
SCH014,Harvard University Financial Aid,Harvard University,USA,Licence,All Fields,University,full_funded,60000,USD,1/1/2026,open,All nationalities,3.9,TOEFL or IELTS,100,Aucune,Non,https://college.harvard.edu/financial-aid,99,99
SCH015,MIT Scholarships & Fellowships,Massachusetts Institute of Technology,USA,Master | PhD,Engineering | Computer Science | Physics | Mathematics,University,full_funded,55000,USD,12/15/2025,open,All nationalities,3.7,TOEFL,100,Aucune,Oui,https://gradadmissions.mit.edu/costs-funding/funding,98,97
SCH016,Agence Universitaire de la Francophonie (AUF) Bourse,Francophone Universities,France,Master | PhD,All Fields,International,partial,600,EUR/month,3/31/2026,open,Citizens of AUF member countries,3,DELF,B2,40,Non,https://www.auf.org/nos-actions/toutes-nos-actions/bourses,76,62
SCH017,Swedish Institute Scholarships for Global Professionals,Swedish Universities,Sweden,Master,All Fields,Government,full_funded,11000,SEK/month,2/10/2026,open,Citizens of eligible countries,3.2,IELTS,6.5,Aucune,Oui,https://si.se/en/apply/scholarships/swedish-institute-scholarships-for-global-professionals,79,74
SCH018,Netherlands Fellowship Programme (NFP),Dutch Universities,Netherlands,Master | PhD,Agriculture | Water Management | Public Health | Engineering,Government,full_funded,1800,EUR/month,2/1/2026,open,Citizens of eligible developing countries,3,IELTS,6,45,Oui,https://www.studyinholland.nl/scholarships/highlighted-scholarships/holland-scholarship,74,68
SCH019,ETH Zurich Excellence Scholarship,ETH Zurich,Switzerland,Master,Engineering | Computer Science | Mathematics | Architecture,University,full_funded,12000,CHF,12/15/2025,open,All nationalities,3.6,IELTS or TOEFL,7,Aucune,Non,https://ethz.ch/en/studies/financial/scholarships/excellencescholarship.html,88,90
SCH020,Morocco Excellence Scholarship (OCP Foundation),Moroccan Universities & Partners,Morocco,Master | PhD,Engineering | Agronomy | Chemistry | Business,Private,full_funded,5000,MAD/month,4/30/2026,open,African citizens,3,None,N/A,30,Non,https://www.ocpfoundation.ma/programmes/bourses,72,60
SCH021,Aga Khan Foundation International Scholarship,Various International Universities,International,Master,All Fields,Private,full_funded,20000,USD,3/31/2026,open,Citizens of Aga Khan Development Network countries,3.2,IELTS or TOEFL,6.5,30,Oui,https://www.akdn.org/our-agencies/aga-khan-foundation/international-scholarship-programme,77,82
SCH022,World Bank Scholarships Program (JJ/WBGSP),Various International Universities,International,Master,Development Economics | Public Policy | Health | Agriculture,International,full_funded,25000,USD,4/15/2026,open,Citizens of World Bank member developing countries,3.2,TOEFL or IELTS,6.5,45,Oui,https://www.worldbank.org/en/programs/scholarships,81,83
SCH023,Google Generation Scholarship,N/A (Google Program),USA,Licence | Master,Computer Science | Information Technology | Engineering,Private,partial,10000,USD,2/28/2026,open,All nationalities studying in the US or Canada,3.2,None,N/A,Aucune,Non,https://buildyourfuture.withgoogle.com/scholarships,88,70
SCH024,Microsoft Scholarship Program,N/A (Microsoft Program),USA,Licence | Master,Computer Science | Engineering | Data Science,Private,partial,5000,USD,1/31/2026,open,All nationalities studying in the US,3,None,N/A,Aucune,Non,https://careers.microsoft.com/students/us/en/usscholarshipprogram,84,68
SCH025,Heinrich Böll Foundation Scholarship,German Universities,Germany,Licence | Master | PhD,Political Science | Social Sciences | Arts | Environment,Private,full_funded,850,EUR/month,3/1/2026,open,All nationalities,2.8,TestDaF or IELTS,6,Aucune,Non,https://www.boell.de/en/foundation/scholarships,75,72
SCH026,Bolashak International Scholarship (Kazakhstan),Top World Universities,International,Master | PhD,All Fields,Government,full_funded,40000,USD,1/20/2026,open,Kazakh citizens,3.4,IELTS,7,35,Oui,https://bolashak.gov.kz,68,78
SCH027,Stipendium Hungaricum Scholarship,Hungarian Universities,Hungary,Licence | Master | PhD,All Fields,Government,full_funded,470,EUR/month,1/15/2026,open,Non-Hungarian citizens from partner countries,2.8,IELTS or None,5.5,35,Non,https://stipendiumhungaricum.hu,78,55
SCH028,Italian Government Scholarship (MAECI),Italian Universities,Italy,Licence | Master | PhD,Arts | Architecture | Engineering | Humanities | Sciences,Government,full_funded,900,EUR/month,5/31/2026,open,Non-Italian citizens,2.7,CILS or IELTS,5.5,28,Non,https://www.esteri.it/en/opportunities/scholarships_government,73,58
SCH029,UAE Khalifa University Scholarship,Khalifa University,UAE,Master | PhD,Engineering | Energy | Computer Science | Science,University,full_funded,18000,AED,4/30/2026,open,All nationalities,3.2,IELTS or TOEFL,6.5,Aucune,Non,https://www.ku.ac.ae/scholarships,71,72
SCH030,African Development Bank Scholarship,Top African & International Universities,International,Master,Economics | Finance | Development | Agriculture | Engineering,International,full_funded,22000,USD,3/20/2026,open,African citizens,3,IELTS or TOEFL,6,40,Oui,https://www.afdb.org/en/topics-and-sectors/initiatives-partnerships/african-development-bank-scholarship-program,76,79
SCH031,Bourse d'Excellence Maroc – Ministère de l'Enseignement Supérieur,Universités Marocaines,Morocco,Master | PhD,Sciences | Engineering | Law | Economics,Government,partial,1500,MAD/month,6/30/2026,open,Moroccan citizens,3,None,N/A,30,Non,https://www.enssup.gov.ma/fr/content/bourses-excellence,70,52
SCH032,Knight-Hennessy Scholars – Stanford University,Stanford University,USA,Master | PhD,All Fields,University,full_funded,90000,USD,10/11/2025,open,All nationalities,3.8,TOEFL or IELTS,100,Aucune,Oui,https://knight-hennessy.stanford.edu,96,98
SCH033,Rotary Peace Fellowship,Partner Universities Worldwide,International,Master,Peace Studies | International Relations | Social Work | Public Health,International,full_funded,30000,USD,5/15/2026,open,All nationalities,3,IELTS or TOEFL,6.5,Aucune,Oui,https://www.rotary.org/en/our-programs/peace-fellowships,78,82
SCH034,Hubert H. Humphrey Fellowship Program,US Universities,USA,Master,Public Policy | Agriculture | Communications | Finance | Public Health,Government,full_funded,30000,USD,10/1/2025,closed,Citizens of designated countries,3,TOEFL,79,Aucune,Oui,https://www.humphreyfellowship.org,74,80
SCH035,Slovenian Government Scholarship,Slovenian Universities,Slovenia,Licence | Master | PhD,All Fields,Government,partial,500,EUR/month,2/28/2026,open,Non-Slovenian citizens from partner countries,2.5,IELTS or None,5,30,Non,https://www.gov.si/en/state-authorities/ministries/ministry-of-education-science-and-sport/scholarships,58,45
